Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
About The Map,,,,This site is designed to provide a guide to interesting and exciting places to visit in East Tennessee.  Each location is indicated on the map with a description and a picture of the location.  ,6,Hidden,blue,East Tennessee,35.810042,-83.778094,,,,
Great Smoky Mountains National Park,https://www.visitmysmokies.com/wp-content/uploads/2020/07/Mount-LeConte.jpg,"Source: Visit My Smokies, public domain",https://www.visitmysmokies.com/blog/smoky-mountains/guide-mount-leconte-smoky-mountains/,"The Great Smoky Mountains National Park is the most visited national park in the United States.  The park is home to 19,000 species of organisms.  <br><br>View of the Great Smoky Mountains National Park from the top of Mount LeConte.",9,Plain,blue,"Mount LeConte, TN",35.6131,-83.5532,,,,color: red;
Dollywood,https://www.youtube.com/embed/lDQv5XiSGwk,"Source: Wikimedia, CC BY-SA",https://en.wikipedia.org/wiki/Dollywood#/media/File:DW_Wild_Eagle.JPG,"Dollywood is the most visited tourist attraction in the entire state of Tennessee.  Dollywood is a theme park in Pigeon Forge, Tennessee with some of the most exciting roller coasters on the East Coast owned partially by Dolly Parton.  <br><br>Visitors fly down the Wild Eagle roller coaster.  ",13,Plain,blue,"Pigeon Forge, TN",35.7951,-83.5312,,,,
Cades Cove,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Cades_Cove_Panorama.JPG/1920px-Cades_Cove_Panorama.JPG,"Source: WIkimedia, CC BY-SA",https://commons.wikimedia.org/wiki/File:Another_view_of_the_Cades_Cove_area_IMG_5004.JPG,Cades Cove is an isolated valley located in the Great Smoky Mountains National Park.  It was home to European Settlers throughout the 1800s up until it became a National Park.  <br><br>View of Cades Cove and the Smoky Mountains.  ,12,Plain,blue,"Cades Cove, TN",35.5943,-83.8418,,,,
Townsend Wye,https://www.pigeonforge.com/wp-content/uploads/wye-1.jpg,Source: PigeonForge.com,https://youtu.be/Q-082gadmDw,The Townsend Wye is a unique swimming hole with several large pools and a rocky beach.  The Townsend Wye is easily accessible off of Lamar Alexander Parkway and is often visited by both locals and tourists.  <br><br>View of the Townsend Wye during the spring.  ,12,Plain,blue,"Townsend, TN",35.659615,-83.707774,,,,
Abrams Falls,https://www.gsmnp.com/wp-content/uploads/Abrams-Falls_1404962.jpg,"Source: GSMNP, public domain",https://www.gsmnp.com/abrams-falls/,Abrams Falls is a popular hiking destination located in the Great Smoky Mountains.  The waterfall is easily accessible from Cades Cove as well as other connecting trails.  <br><br> View of Abrams Falls during Fall.  ,12,Plain,blue,"Townsend, TN",35.609008,-83.879624,,,,
Ober Gatlinburg,https://obergat.wpenginepowered.com/wp-content/uploads/2020/03/drone-winter_2018-cc.jpg,"Source: Ober Gatlinburg, public domain",https://obergatlinburg.com/winter/,"Gatlinburg is ideal winter destination for visitors of East Tennessee.  Ober Gatlinburg is home to some of the best ski slopes in Tennessee and is located minutes from downtown Gatlinburg, TN.  <br><br> View of the ski slopes during Winter.",12,Plain,blue,"Gatlinburg, TN",35.7031,-83.5583,,,,
Ijams Nature Center,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,f_avif,h_426,q_65,w_1023/v1/clients/knoxville/MTB-Meads-Quarry1_fa8711b1-a12e-489e-b572-98180a289526.jpg","Source: Visit Knoxville, public domain",https://www.visitknoxville.com/things-to-do/outdoors/biking/?bounds=false&view=list&sort=qualityScore,"Ijams Nature Center is the center of Knoxville, Tennessee's quickly growing outdoor initiative.  The center is home to hiking trails, biking trails, a swimming quarry, a bird center, and much more.  <br><br> A biker rides down one of Ijam's mountain biking trails.  ",12,Plain,blue,"Knoxville, TN",35.9565,-83.8668,,,,
Market Square,https://www.easttnvacations.com/wp-content/uploads/2017/10/20102017010334_thumb.jpg,Source: Bruce McCamish Photography,https://www.easttnvacations.com/list/market-square/,"Market Square is the vibrant downtown of Knoxville, TN.  Market Square porvides a variety of unique local restaurants, shopping, and entertainment options for residents and visitors of the city.  <br><br>View of Knoxville's Market Square during the summer.  ",16,Plain,blue,"Knoxville, TN",35.965495,-83.919771,,,,
World's Fair Park,"https://assets.simpleviewinc.com/simpleview/image/fetch/c_limit,q_75,w_1200/https://assets.simpleviewinc.com/simpleview/image/upload/crm/knoxville/wfp40_ac3f5ed8-5056-a348-3a7df156218bbb33.jpg","Source: Visit Knoxville, public domain",https://www.visitknoxville.com/listing/worlds-fair-park/133/,"World's Fair Park, located in downtown Knoxville, TN, was once the home of the 1982 World's Fair.  The park is home to a large festival lawn as well as an amphitheater and the iconic Sunsphere.<br><br>View of the Sunsphere and the Knoxville skyline.",16,Plain,blue,"Knoxville, TN",35.9625,-83.9242,,,,
Fort Dickerson Quarry,https://cdn5-hosted.civiclive.com/UserFiles/Servers/Server_109478/Image/ParksRecreation/parks/fortdickersonquarry1.jpg,"Source: Knoxville TN, public domain",https://www.knoxvilletn.gov/government/city_departments_offices/parks_and_recreation/parks/fort_dickerson_park___augusta_quarry,"Fort Dickerson Park is home to a breathtaking quarry that is often visited by locals during the summer swimming season.  During the winter months, the park is often visited by hikers and explorers of the area.  <br><br> View of the ",14,Plain,blue,"Knoxville, TN",35.943788,-83.916084,,,,
Learn More,,,,"To learn more about things to do in East Tennessee, there are many resources available like Visit Knoxville and PigeonForge.com.  ",,,,,,,,,,
